,first_downs,fourth_down_attempts,fourth_down_conversions,fumbles,fumbles_lost,interceptions,net_pass_yards,pass_attempts,pass_completions,pass_touchdowns,pass_yards,penalties,points,rush_attempts,rush_touchdowns,rush_yards,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,total_yards,turnovers,yards_from_penalties,yards_lost_from_sacks,win,tie,loss
196610230clt,0.6470660570021454,,,-0.7133375547609823,0.6438059463856676,1.1141291887123699,1.3660423339504824,0.8142833287708987,1.096861798886265,2.294124994890124,1.1431067606569985,0.026743514837663605,1.4241950349570847,0.2539923672107342,-0.7754567413551052,0.42374267032125157,,,,-0.8665750051765007,1.0826444769835284,1.1674735929605355,-0.05453002249796891,-1.1796764029552727,1.0,0.0,0.0
196610300ram,0.9739385589383218,,,0.2048076763350391,0.45471521702194995,0.653508184314132,1.5219567288174392,0.851787308873878,1.1001543404846323,2.4187992368055555,1.3374228105828176,0.27971254898673953,1.4309760859453022,0.471212978471956,-0.6766194413316887,0.7089984816286171,,,,-0.8273980464390872,1.328574679195863,0.7280372707481266,0.08767100831388094,-0.8890327103626288,1.0,0.0,0.0
196611060clt,0.9705617768935264,,,0.5248342592891809,1.0793899479556601,0.4964782964510965,1.2143959641635624,0.8329584664041446,0.9787418690448376,1.4745751987695668,1.1797609451248967,-0.04143954514782937,1.0643755168947886,0.6676421375164721,-0.22876292560058173,0.9946257197736221,,,,0.4376912461232223,1.2816346000342618,0.9648025305608469,-0.059369324593660254,0.040714585834268915,1.0,0.0,0.0
196611130atl,1.1765454816260346,,,-0.04900651014583219,0.3365335111696264,0.1431610487592664,2.2051947247461676,1.0934881642506613,1.6413658657162609,2.7946554072859007,1.9128446344828673,-0.05626194949250185,1.826184213852359,0.8143013896966356,-0.5376294881737589,0.5914418875156207,,,,-1.0151209737225266,1.69987454242782,0.2923891926927215,-0.10078258291255617,-1.4544987655075907,1.0,0.0,0.0
196611200det,-0.6009925867541654,,,-1.0497946212844171,-1.1525559825696503,-0.8237359459529434,-0.31589667436780866,-1.048516819568071,-0.8468352580165766,0.6085781360530648,-0.4772883937009379,-1.415092143341878,-0.00707762987545396,-0.7652010864943055,-0.9099852886092002,-0.4795508909592883,,,,-0.7903975854093076,-0.44744862113700273,-1.2426915229285946,-1.5525628712308308,-1.1456464365585233,0.0,0.0,1.0
196611270clt,-0.8880804565989365,,,-0.7863718345072565,-0.4907384297966384,-0.10499375887883375,-0.3523848255906243,-1.0783821350698475,-0.8789624820976151,0.43201185227087147,-0.4720552128429272,-0.9416535690142672,-0.3558308494500338,-0.9347668111398483,-0.8619393788755949,-0.7397282623321135,,,,-1.1200380564018875,-0.6049100875779829,-0.3512679281654225,-0.7983612117517673,-0.8758926607219546,0.0,0.0,1.0
196612040clt,1.0390183583471018,,,-0.02793892944979158,0.3687648854929873,1.1008054406512635,1.8575511179199022,1.4492799278021198,1.6269609962234037,1.9721054288732611,1.8999690191388714,0.056927320048632706,1.2213799644913037,0.26838521386499736,-0.272285032144984,0.12308952828990902,,,,0.8287188456424817,1.238136250729444,1.0035459367120192,0.19325578131078064,0.697717067867982,1.0,0.0,0.0
196612100clt,-0.8247606769225949,,,-0.5382425507538884,-0.8058896454028345,0.6011648883597869,-0.518705404829805,-0.4531667529060207,-0.581785659348007,-0.09302004884357935,-0.5551060418637191,-0.7479741522438811,-0.7276584786372987,-1.0966863360003134,-1.150214837277227,-0.8199181910426745,,,,-0.38665726064318573,-0.7514975480660447,-0.016984080129232755,-0.6186809706533577,-0.3583996246480128,0.0,0.0,1.0
196612180sfo,0.42014630359190724,,,0.07577839089994715,0.52744242062338,1.0239376633756516,0.8708144993263591,0.5491070154828714,0.6252685330278074,1.0028157652773517,0.9207906732012396,0.018230133880723583,0.5670441090810414,0.6102153219037575,-0.2964759797031629,0.32454313337622215,,,,0.553840883405618,0.7182651024713936,1.0369248712422596,0.027251319426848778,0.5275247409212029,1.0,0.0,0.0
196609180crd,1.3656452761345665,,,0.6462236528235108,-1.4361920766152265,-2.6964627567639603,0.18005727948247188,0.24619025311265302,1.6269609962234037,-1.2480902312953714,0.4123689391049732,0.9121351343594291,0.4392473789184791,0.9070677841479438,0.4353001839317492,0.7253412624847682,,,,1.7843992027218099,0.48851353496317473,-2.757147353695114,0.8731269638453033,1.5876890786660818,1.0,0.0,0.0
196609250cle,1.4601951733888323,,,-0.58974108134421,-1.4361920766152265,0.9675679600402033,1.314219204779602,1.4404768326214648,1.9726778640519724,-1.6331136254459688,1.5248967460746292,0.7737926938091532,-0.03542619025675252,0.8575923737739127,0.4353001839317492,0.7149413110308538,,,,1.7843992027218099,1.2002888497705606,-0.10537644379264831,1.0164447566792358,1.6970711135127756,1.0,0.0,0.0
196610020phi,0.8298625250270593,,,1.0582118975460846,1.7153200794467343,1.2118366744938138,1.5195294159757118,1.2145307229846627,1.8190259227948307,0.8053678708411476,1.68500222383041,0.9121351343594291,0.8545867519468066,0.3298546631175817,-0.1412507328715149,0.326676456751384,,,,1.4796895236530385,1.1295589757205184,1.8392555568024929,0.6559787928847995,1.4418463655371567,1.0,0.0,0.0
196610090crd,0.7747084182954043,,,0.028241285739650363,0.691078628726597,-1.0476489342020867,0.36058867208594764,0.34302430009985396,0.8779077825948385,0.4845150423823167,0.4944743123130659,0.9121351343594291,1.789100341260544,1.0060186048960058,0.8677133715341973,0.7123413231673752,,,,0.9845362951662852,0.5959513183303273,-0.3705535347828949,0.5930058233062534,0.9724151326534289,1.0,0.0,0.0
